congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,House,68,2019-02-07,1,69,225,193,0.068,0.047,0.714,-0.084,-0.533,HRES105,Passed,"Providing for consideration of H.R. 840, the Veterans’ Access to Child Care Act; providing for adoption of H.Res. 86, providing amounts for the expenses of the Select Committee on the Climate Crisis and the Select Committee on the Modernization of Congress; providing for consideration of motions to suspend the rules",On Agreeing to the Resolution,
116,House,69,2019-02-07,1,70,417,0,0.0,0.0,0.0,0.0,0.0,HR450,Passed,Preventing Crimes Against Veterans Act of 2019,"On Motion to Suspend the Rules and Pass, as Amended",
116,House,70,2019-02-07,1,71,414,1,0.0,0.0,0.0,0.0,0.0,HR507,Passed,Put Trafficking Victims First Act of 2019,On Motion to Suspend the Rules and Pass,
116,House,71,2019-02-08,1,72,172,242,0.137,0.774,-0.271,-0.229,-48.023,HR840,Failed,,On Agreeing to the Amendment,
116,House,72,2019-02-08,1,73,397,19,0.884,-0.308,0.279,-1.332,-46.104,HR840,Agreed to,,On Agreeing to the Amendment,
116,House,73,2019-02-08,1,74,200,214,-0.145,0.418,-0.528,-1.168,-17.438,HR840,Failed,Veterans’ Access to Child Care Act,On Motion to Recommit with Instructions,
116,House,74,2019-02-08,1,75,400,9,0.0,0.0,0.0,0.0,0.0,HR840,Passed,Veterans’ Access to Child Care Act,On Passage,
116,House,75,2019-02-11,1,76,377,3,0.0,0.0,0.0,0.0,0.0,HR1065,Passed,Social Media Use in Clearance Investigations Act,On Motion to Suspend the Rules and Pass,
116,House,76,2019-02-11,1,77,379,0,0.0,0.0,0.0,0.0,0.0,HR1079,Passed,Creating Advanced Streamlined Electronic Services for Constituents Act,"On Motion to Suspend the Rules and Pass, as Amended",
116,House,77,2019-02-13,1,78,227,195,0.068,0.038,0.714,-0.088,-0.512,HRES122,Passed,"Providing for consideration of H.J. Res.37, directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Ordering the Previous Question,
116,House,78,2019-02-13,1,79,228,193,0.068,0.038,0.714,-0.088,-0.512,HRES122,Passed,"Providing for consideration of H.J. Res.37, directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Agreeing to the Resolution,
116,House,79,2019-02-13,1,80,215,199,-0.43,0.903,0.128,0.288,-184.535,,Passed,,On Approving the Journal,
